L,end_ny,rr,concept,n,gross,net,net5050,vs_rand,cost_R,risk_med,H1,H2
180,22,1.0,False,1372,0.035398445704742126,-0.17687986514042706,-0.17615100216666613,0.039677772168762324,0.21227831084516913,2.1393839285714193,-0.20613032486976837,-0.14578200795449572
180,22,2.0,False,1372,0.060848161225745066,-0.1514301496194241,-0.1514301496194241,0.04596762133939505,0.21227831084516913,2.1393839285714193,-0.1891143938029366,-0.11136584790853186
180,23,1.0,False,1726,0.010601799991493927,-0.18134633703733247,-0.179608214209986,0.020904873150515903,0.1919481370288264,2.3661160714284506,-0.22042857011307293,-0.14144035666022978
180,23,2.0,False,1726,0.05713198081293035,-0.13481615621589604,-0.13307803338854957,0.06733412938892332,0.1919481370288264,2.3661160714284506,-0.16371968125074923,-0.10530342339342297
180,0,1.0,False,1925,-0.020942166527751483,-0.21994207343209832,-0.21890311239313728,-0.00215981631912983,0.19899990690434682,2.20083928571421,-0.2484082198470386,-0.19393771105105442
180,0,2.0,False,1925,0.010345366051902482,-0.18865454085244437,-0.18865454085244437,0.02236680186401237,0.19899990690434682,2.20083928571421,-0.22691217480925668,-0.1537054696732092
180,1,1.0,False,1784,-0.024531494241800865,-0.25178523897277083,-0.2512247008561789,-0.005687894976377466,0.22725374473096996,2.0074999999998226,-0.3453399240663099,-0.17776807847707926
180,1,2.0,False,1784,-0.004432086799711221,-0.2316858315306812,-0.23084502435579332,0.01875986016914883,0.22725374473096996,2.0074999999998226,-0.3656996248740053,-0.12565885446789066
180,2,1.0,False,1756,-0.09328617599985706,-0.3186586514424952,-0.3141028427864588,-0.09986154599522255,0.22537247544263814,2.0441696428571277,-0.4371646186301316,-0.22218891782280767
180,2,2.0,False,1756,-0.09113873646650938,-0.31651121190914755,-0.31394856954012706,-0.11356035642401877,0.22537247544263814,2.0441696428571277,-0.43843784840885025,-0.21725688384947214
180,3,1.0,False,1903,-0.03205305502366042,-0.2295989807532894,-0.2274970364548133,-0.020557274866674358,0.197545925729629,2.258250000000089,-0.3012146129568494,-0.16681170557679545
180,3,2.0,False,1903,-0.030417734946061755,-0.22796366067569074,-0.2263872024518337,-0.04259179721490948,0.197545925729629,2.258250000000089,-0.2628677617427569,-0.19736233340880535
180,4,1.0,False,1979,-0.03164531567498202,-0.18555017773312013,-0.1850448720231656,-0.023618575332951208,0.15390486205813808,2.7479464285713675,-0.20274885067216147,-0.16954282750497823
180,4,2.0,False,1979,-0.019124490345636413,-0.17302935240377448,-0.1722713938388427,0.004638508442229663,0.15390486205813808,2.7479464285713675,-0.18351042361674788,-0.163274287099212
180,5,1.0,True,1956,0.016041630212150812,-0.1279186853734257,-0.12689619048590015,0.02601946048864849,0.1439603155855765,2.8918660714285807,-0.13197581252759305,-0.12424117245590557
180,5,2.0,True,1956,-0.019047629628570904,-0.16300794521414738,-0.16300794521414738,0.0028995151429053144,0.1439603155855765,2.8918660714285807,-0.18883161553187724,-0.1396005247507081
180,6,1.0,False,1788,0.017058907989972668,-0.13200695615366181,-0.1314476720373307,0.03739699810517353,0.14906586414363449,2.866919642857283,-0.16033632308773646,-0.10656465846127634
180,6,2.0,False,1788,0.038391577934927604,-0.11067428620870688,-0.10983536003421024,0.05009864867387804,0.14906586414363449,2.866919642857283,-0.1787902435044005,-0.049500082522765484
180,7,1.0,False,1574,0.02175636227247113,-0.13244128103102265,-0.13053530898527932,0.022509517453230102,0.15419764330349378,2.6780178571428905,-0.1698953513417623,-0.10029357251165105
180,7,2.0,False,1574,-0.021186390741531613,-0.17538403404502537,-0.17347806199928203,-0.00827518113368619,0.15419764330349378,2.6780178571428905,-0.20228999446465631,-0.15229001606973414
180,8,1.0,False,1503,-0.04696396146478676,-0.2040433971564627,-0.20138205317775346,-0.061008214219959736,0.15707943569167593,2.836535714285901,-0.22344582923897574,-0.18685629922640723
180,8,2.0,False,1503,-0.011888977533892692,-0.1689684132255686,-0.16497639725750474,-0.015535331906876861,0.15707943569167593,2.836535714285901,-0.1994232762155948,-0.14199083070240867
180,9,1.0,False,1760,-0.025986075469370096,-0.14608283927335175,-0.1438101120006245,-0.02662338232442493,0.12009676380398165,3.5624285714286543,-0.15947107467784333,-0.13385879825185948
180,9,2.0,False,1760,0.015912203130090067,-0.1041845606738916,-0.10333228794661889,0.026253318775517037,0.12009676380398165,3.5624285714286543,-0.1120250863808987,-0.09702581981097211
180,10,1.0,False,1866,0.005429419654826716,-0.09294732598716976,-0.0908037032647689,0.01184695336185133,0.09837674564199647,4.304303571428591,-0.09597298234409501,-0.09023530474041357
180,10,2.0,False,1866,0.015462670772716866,-0.08291407486927958,-0.08211021634837927,0.03998503529540678,0.09837674564199647,4.304303571428591,-0.1043858747010964,-0.06366801038588284
180,11,1.0,False,1897,-0.01351789944336152,-0.09842750820862467,-0.09790036008000053,-0.020383185354636724,0.08490960876526316,5.067857142857065,-0.12639436011223115,-0.07371003234545709
180,11,2.0,False,1897,0.001825512645367747,-0.08308409611989541,-0.08229337392695919,-0.006655730493610805,0.08490960876526316,5.067857142857065,-0.11088407136467855,-0.058514108068398886
180,12,1.0,False,1847,-0.0033099121996087895,-0.08940843923259678,-0.08886702071608352,-3.139948003037362e-05,0.086098527032988,4.9270892857143735,-0.1363041093846263,-0.04872443014216064
180,12,2.0,False,1847,-0.013270774228858122,-0.09936930126184611,-0.09936930126184611,-0.006844454801313478,0.086098527032988,4.9270892857143735,-0.1491242982852913,-0.056204703237461906
180,13,1.0,False,1530,-0.005604471928441007,-0.10819253979362058,-0.10819253979362058,1.4653198306832449e-05,0.10258806786517956,4.272964285714465,-0.15741526202569756,-0.06568473216567589
180,13,2.0,False,1530,-0.02208619716412011,-0.12467426502929967,-0.12369387287243692,-0.012540655100899616,0.10258806786517956,4.272964285714465,-0.17944284887078804,-0.07737715669359292
180,14,1.0,False,1145,-0.014827551815056931,-0.12734963643823924,-0.1264762739928244,-0.0006624135534081553,0.11252208462318232,3.7418035714285907,-0.17974770301039547,-0.07975472596853067
180,14,2.0,False,1145,-0.02168744502412466,-0.134209529647307,-0.13289948597918472,-0.012453537985230112,0.11252208462318232,3.7418035714285907,-0.17123628106687297,-0.10057689710786788
210,22,1.0,False,1059,0.017379118309815537,-0.200761664945911,-0.19981737788264375,0.02052413508352164,0.21814078325572653,2.1173214285713584,-0.2214468266586476,-0.17745970566710526
