b,diff,lo,hi,p,verdict,z
0,-0.006034293333333607,-0.04029006366666683,0.028544296333332865,0.7311197059186119,NULL,-0.3436364542003128
1,-0.013678973333333844,-0.04844841266666659,0.02116555899999936,0.44114795554586306,NULL,-0.7702561611818568
2,0.0075579733333337555,-0.025807662999999877,0.042433911666667386,0.6641834383237453,NULL,0.43414460227951845
3,0.02446515999999978,-0.0074421360000017376,0.06002526433333296,0.15518542184038456,NULL,1.4214519195146083
4,-0.004768613333333331,-0.04023420033333302,0.028172857666667286,0.7846566390570777,NULL,-0.27325573519777124
5,-0.02964626666666636,-0.06257866533333335,0.0017728723333339585,0.07093690134116651,NULL,-1.8058811804014903
6,-0.007995773333333754,-0.04088554233333341,0.024437896999999063,0.6313623236227783,NULL,-0.4798102502082289
7,-0.015248293333333197,-0.05084119799999976,0.017879076000000545,0.38441513863979804,NULL,-0.8697900708245994
8,-0.02782442666666623,-0.061772218333333254,0.0073783949999998875,0.11473154536370736,NULL,-1.5772781168093557
9,-0.039955813333333694,-0.07409172333333389,-0.005841272666667125,0.02174225568172257,NEGATIVE,-2.294840692159745
10,0.04322968000000061,0.009984611000000731,0.07624422900000016,0.010543551829571424,EDGE,2.557473740084705
11,-0.007472679999999662,-0.04065903733333041,0.027586315000001322,0.6677620905674271,NULL,-0.42922142776793876
12,0.006900026666666885,-0.0257748186666643,0.04224219566666847,0.6908812402328595,NULL,0.39765943854667407
13,-0.010200253333333818,-0.043698885666672536,0.02500884866666054,0.5606023929893555,NULL,-0.5819469821904822
14,-0.012948013333333605,-0.0497187550000009,0.019185584333333137,0.4613626010912511,NULL,-0.7366049874474846
15,0.004431839999999999,-0.031406757333332265,0.040144794000001156,0.8081627495832148,NULL,0.24279688397792637
16,-0.003603573333333679,-0.0360616329999983,0.03126822600000299,0.8338244269783139,NULL,-0.2097991622021331
17,0.03202660000000025,-0.0039560703333332125,0.0650925093333333,0.06903835290045769,NULL,1.8181686964577333
18,-0.014999546666666572,-0.05001007133333324,0.01833923833333368,0.38965407578159883,NULL,-0.8602448693735318
19,0.03722569333333288,0.0023590183333310885,0.07177667466666458,0.035545548623218536,EDGE,2.1020882196893607
20,-0.00852910666666637,-0.04034524933333231,0.024262724333334058,0.6048195083871354,NULL,-0.5174823189804161
21,0.017286600000000478,-0.01553715566666664,0.054633512666667716,0.3342056401715566,NULL,0.9656773830756241
22,0.02505738666666676,-0.015301800000000837,0.06379880433333251,0.21432892697199127,NULL,1.241749698745374
23,-0.010204653333333681,-0.04140223066666687,0.022740307666666435,0.5328675812987869,NULL,-0.6236346014831818
24,-0.009555493333333352,-0.041147687666666814,0.023208296333333187,0.560549273433407,NULL,-0.5820258434887227
25,0.0063630799999998475,-0.025174806333333646,0.04072995599999974,0.7050832783283808,NULL,0.3784675731335396
26,-0.01429681333333347,-0.04729591366666686,0.022741426666667088,0.42360651647627706,NULL,-0.8001799986889857
27,-0.011104186666666557,-0.04438163533333329,0.023201800333333727,0.5195382096587567,NULL,-0.6440574055243135
28,0.017690933333333075,-0.014871513000000117,0.052912685666665835,0.3062802965476113,NULL,1.0230582684983238
29,0.019977546666666558,-0.015615204333334803,0.052468514999999376,0.2500575715257758,NULL,1.1502095554822547
30,-0.004751213333332872,-0.038205545999999334,0.030116920000000016,0.7851639756882991,NULL,-0.27259575465711433
31,0.029047839999999298,-0.006069566666670541,0.0637591609999957,0.10296653088348198,NULL,1.6306389241268184
32,0.03554898666666645,0.0028609799999991963,0.06828296766666536,0.03317081270022073,EDGE,2.1300096982118117
33,0.021111293333333746,-0.012032632666667951,0.058309039999998986,0.23940778250577263,NULL,1.1764683254790382
34,0.012389133333332865,-0.023620452333334256,0.051050419333332354,0.5154461950319034,NULL,0.6503809258563166
35,0.004335613333332912,-0.028320362333331538,0.03970580400000197,0.8027152378185316,NULL,0.2498346300925847
36,-0.018303173333333006,-0.05178816200000001,0.01883579966666708,0.3096753973248952,NULL,-1.0159033838517784
37,-4.598666666669193e-05,-0.0347160903333315,0.03466342100000129,0.9979269090424968,NULL,-0.002598237128355586
38,-0.019055213333333383,-0.051266240000006714,0.013061194666659705,0.24557291777713441,NULL,-1.1611696421342417
39,0.02402280000000047,-0.008829695999999066,0.0572099053333339,0.15388943342331532,NULL,1.425926935613881
40,-0.022117666666667098,-0.058163279999998596,0.0155249790000011,0.2393657363284496,NULL,-1.176573609390546
41,0.008105253333333687,-0.028404770666665805,0.03968458433333363,0.6407701499113465,NULL,0.46662227140245804
42,-0.024662199999999794,-0.05843078899999959,0.007951203000000066,0.1453015746663094,NULL,-1.456329426233544
43,0.0118571333333332,-0.02217099200000017,0.04570759300000021,0.49350868497783695,NULL,0.6847389195438573
44,-0.009881586666667268,-0.04164533333333382,0.020820424333333008,0.5351909833363312,NULL,-0.620101471686233
45,0.006901240000000371,-0.025982243999998895,0.042582197666667654,0.6931721837982616,NULL,0.39455384238727487
46,0.018452320000000307,-0.01645034966666615,0.05286575166666755,0.29671401545969217,NULL,1.0435059739601553
