family,book,n,diff,lo,hi,how,z,verdict,dep,n_eff,sec
gate_setups,50,36119,0.0146328090990471,-0.0615126955519506,0.0929918568060943,day_block,0.3712483368974543,UNDERPOWERED,1,553,4.2
gate_setups,51,35818,-0.0185734382659115,-0.0973167972983244,0.0702571327383759,day_block,-0.43447414940303,UNDERPOWERED,1,568,4.2
gate_setups,52,37433,-0.0919463064312874,-0.1710797602573189,-0.0101194231198373,day_block,-2.2392031943169615,NEGATIVE,1,568,4.2
gate_setups,53,33717,-0.0171918311418971,-0.1006691327079655,0.0648541297947135,day_block,-0.4071375784011259,UNDERPOWERED,1,525,4.2
gate_setups,54,37255,-0.0448164789796895,-0.1192229309688147,0.0343646109286522,day_block,-1.1438256556718418,UNDERPOWERED,1,582,4.3
gate_setups,55,36896,0.0007211825823878,-0.0804905927938805,0.0756343020676352,day_block,0.0181071942454913,UNDERPOWERED,1,559,4.3
gate_setups,56,37559,-0.0085251611536499,-0.085159459733797,0.0702506434172821,day_block,-0.2150311802973196,UNDERPOWERED,1,574,4.3
gate_setups,57,35217,0.0096825626803073,-0.0703362639789863,0.0822522035740699,day_block,0.2487406104206048,UNDERPOWERED,1,538,4.2
gate_setups,58,34675,-0.0247126043945383,-0.1031591904145491,0.0568883301905425,day_block,-0.6052679201329153,UNDERPOWERED,1,530,4.2
gate_setups,59,35039,0.052529325078157,-0.033011075300193,0.1315436606308897,day_block,1.251323281763265,UNDERPOWERED,1,537,4.3
gate_setups,60,35216,0.0661067673202367,-0.0147579085615263,0.1421862061858,day_block,1.6511212836828957,UNDERPOWERED,1,554,4.1
gate_setups,61,34438,0.0186318532470571,-0.0589186245344253,0.100069842807527,day_block,0.4593762331071816,UNDERPOWERED,1,523,4.2
gate_setups,62,36599,-0.0108548288473878,-0.0935573842380403,0.0709514182641267,day_block,-0.2586496703331292,UNDERPOWERED,1,560,4.2
gate_setups,63,34795,0.0196375969123956,-0.0636300329571818,0.1004433173310608,day_block,0.4691680023256606,UNDERPOWERED,1,536,4.2
gate_setups,64,36358,-0.0092047565633543,-0.0867704066080971,0.0671302337840231,day_block,-0.2344498560496161,UNDERPOWERED,1,557,4.3
gate_setups,65,36477,0.0266468220866936,-0.048688213165593,0.1136744280789509,day_block,0.6433353338427482,UNDERPOWERED,1,555,4.3
gate_setups,66,34320,-0.0106184840409553,-0.0927230602676099,0.0640780825411629,day_block,-0.2654552904659383,UNDERPOWERED,1,529,4.0
gate_setups,67,35338,-0.0638853698839753,-0.1373849141634322,0.0131689458006709,day_block,-1.6633651920864794,UNDERPOWERED,1,544,4.0
gate_setups,68,34680,0.0452810833935891,-0.0355489762683532,0.1200241536535968,day_block,1.140933442387609,UNDERPOWERED,1,533,4.1
gate_setups,69,35697,-0.0256583933482317,-0.1066662140472275,0.0558911153480027,day_block,-0.6187297422696136,UNDERPOWERED,1,545,4.0
gate_setups,70,35098,-0.0364439557715582,-0.109920104461522,0.0387607363078302,day_block,-0.960834509143696,UNDERPOWERED,1,551,3.9
gate_setups,71,35639,-0.0972434322354623,-0.1762556709133105,-0.0170039393615491,day_block,-2.393614493993709,NEGATIVE,1,557,3.9
gate_setups,72,35159,0.077348781370392,-0.0017957514947274,0.1544745967793374,day_block,1.9402379095484383,UNDERPOWERED,1,547,3.9
gate_setups,73,37557,-0.0245747256731813,-0.1068349148426011,0.057524325111398,day_block,-0.5861012455739245,UNDERPOWERED,1,568,3.9
gate_setups,74,33658,0.0103179638491795,-0.0732502643093624,0.0923305053097394,day_block,0.2442655357166584,UNDERPOWERED,1,508,4.0
gate_setups,75,35338,-0.0184448250913159,-0.0965854060728054,0.0567755351425932,day_block,-0.4714524164859007,UNDERPOWERED,1,540,4.0
gate_setups,76,36298,-0.0285027560409827,-0.1116109148526193,0.0548294526406207,day_block,-0.6712839749452928,UNDERPOWERED,1,557,4.1
gate_setups,77,38936,-0.0147082014691372,-0.093617818225102,0.0619361375495466,day_block,-0.3706436810391201,UNDERPOWERED,1,592,4.1
gate_setups,78,35574,0.0390446069333522,-0.0391346075290864,0.1258078729408407,day_block,0.9279116424767642,UNDERPOWERED,1,538,4.2
gate_setups,79,33718,-0.0592034994387776,-0.1364299005460778,0.019984694071201,day_block,-1.4837071675817393,UNDERPOWERED,1,525,4.1
rate_daily,60,145107,0.0015243923449592,-0.0210246397605761,0.0254853671111111,day_block,0.1284779048189916,NULL,1,1608,4.5
rate_daily,61,148964,-0.0061195993662898,-0.0293899959184906,0.0160172383807675,day_block,-0.5282944287380569,NULL,1,1647,4.6
rate_daily,62,144990,-0.0094696185943857,-0.0327986534455591,0.0151536881535978,day_block,-0.774106578313707,NULL,1,1605,4.5
rate_daily,63,147013,0.0162693095168455,-0.0088601588709732,0.0401895125439818,day_block,1.3002028367575296,NULL,1,1628,4.5
rate_daily,64,148173,0.0042976790643369,-0.0200259886023458,0.0291388776793468,day_block,0.3426551066524798,NULL,1,1643,4.5
rate_daily,65,147715,-0.0023965067867177,-0.025346391992939,0.0207864189766914,day_block,-0.2036323791678121,NULL,1,1637,4.5
rate_daily,66,143462,0.0141236006747431,-0.010100788281284,0.0388693011549153,day_block,1.1305574154173206,NULL,1,1590,4.4
rate_daily,67,151969,0.0250208924188486,0.0014817398315052,0.0483555197850977,day_block,2.092429858968852,EDGE,1,1682,4.7
rate_daily,68,145187,-0.0083809156467176,-0.0311290457905081,0.0146016474641125,day_block,-0.7183924749683744,NULL,1,1609,4.4
rate_daily,69,148354,0.0067028863394313,-0.0175586594271702,0.0297921832971762,day_block,0.5548968155796906,NULL,1,1643,4.4
rate_daily,70,153074,-0.0066673634973933,-0.0306077354167941,0.0165002359044917,day_block,-0.5548017485482516,NULL,1,1695,4.5
rate_daily,71,147303,0.0065293985865868,-0.0177775224557871,0.0311589818470206,day_block,0.5230200380547761,NULL,1,1631,4.4
rate_daily,72,148357,0.0045714054611512,-0.0188870325530991,0.0281947536470326,day_block,0.3806053617071468,NULL,1,1641,4.5
rate_daily,73,149370,0.0053156591015599,-0.0188248712478552,0.0286199371312474,day_block,0.4391840047948688,NULL,1,1654,4.6
rate_daily,74,145416,0.0079262254497441,-0.016962965049103,0.0316655478945658,day_block,0.6389303557515017,NULL,1,1611,4.3
