date,price,kind
2025-11-19 00:00:00+00:00,4132.985,H
2025-11-21 00:00:00+00:00,4022.26,L
2025-11-24 00:00:00+00:00,4144.34,H
2025-11-24 00:00:00+00:00,4040.02,L
2025-11-28 00:00:00+00:00,4226.915,H
2025-11-28 00:00:00+00:00,4153.74,L
2025-12-01 00:00:00+00:00,4264.7,H
2025-12-02 00:00:00+00:00,4163.805,L
2025-12-03 00:00:00+00:00,4241.565,H
2025-12-04 00:00:00+00:00,4174.81,L
2025-12-05 00:00:00+00:00,4259.34,H
2025-12-09 00:00:00+00:00,4169.985,L
2025-12-11 00:00:00+00:00,4285.89,H
2025-12-11 00:00:00+00:00,4204.27,L
2025-12-12 00:00:00+00:00,4353.555,H
2025-12-16 00:00:00+00:00,4271.575,L
2025-12-18 00:00:00+00:00,4374.655,H
2025-12-18 00:00:00+00:00,4308.67,L
2025-12-23 00:00:00+00:00,4510.78,H
2025-12-23 00:00:00+00:00,4430.515,L
2025-12-26 00:00:00+00:00,4550.15,H
2025-12-29 00:00:00+00:00,4302.11,L
2025-12-30 00:00:00+00:00,4404.375,H
2025-12-31 00:00:00+00:00,4274.025,L
2026-01-02 00:00:00+00:00,4402.295,H
2026-01-02 00:00:00+00:00,4309.915,L
2026-01-05 00:00:00+00:00,4460.285,H
2026-01-05 00:00:00+00:00,4370.425,L
2026-01-06 00:00:00+00:00,4500.56,H
2026-01-08 00:00:00+00:00,4407.835,L
2026-01-12 00:00:00+00:00,4630.19,H
2026-01-12 00:00:00+00:00,4536.53,L
2026-01-14 00:00:00+00:00,4642.97,H
2026-01-16 00:00:00+00:00,4536.49,L
2026-01-20 00:00:00+00:00,4781.285,H
2026-01-20 00:00:00+00:00,4659.395,L
2026-01-22 00:00:00+00:00,4960.67,H
2026-01-22 00:00:00+00:00,4772.27,L
2026-01-26 00:00:00+00:00,5111.51,H
2026-01-26 00:00:00+00:00,4990.215,L
2026-01-28 00:00:00+00:00,5602.225,H
2026-01-29 00:00:00+00:00,5097.215,L
2026-01-29 00:00:00+00:00,5595.77,H
2026-01-30 00:00:00+00:00,4679.51,L
2026-02-02 00:00:00+00:00,4884.56,H
2026-02-02 00:00:00+00:00,4402.38,L
2026-02-04 00:00:00+00:00,5091.93,H
2026-02-05 00:00:00+00:00,4703.485,L
