date,price,kind
2025-11-21 00:00:00+00:00,4022.26,L
2025-12-26 00:00:00+00:00,4550.15,H
2025-12-31 00:00:00+00:00,4274.025,L
2026-01-22 00:00:00+00:00,4960.67,H
2026-01-22 00:00:00+00:00,4772.27,L
2026-01-27 00:00:00+00:00,5190.51,H
2026-01-27 00:00:00+00:00,5013.875,L
2026-01-28 00:00:00+00:00,5602.225,H
2026-01-30 00:00:00+00:00,4679.51,L
2026-01-30 00:00:00+00:00,5451.16,H
2026-02-02 00:00:00+00:00,4402.38,L
2026-02-03 00:00:00+00:00,4993.835,H
2026-02-03 00:00:00+00:00,4745.695,L
2026-02-04 00:00:00+00:00,5091.93,H
2026-02-06 00:00:00+00:00,4655.23,L
2026-02-11 00:00:00+00:00,5119.345,H
2026-02-12 00:00:00+00:00,4878.5,L
2026-02-13 00:00:00+00:00,5046.48,H
2026-02-17 00:00:00+00:00,4842.6,L
2026-03-02 00:00:00+00:00,5419.66,H
2026-03-03 00:00:00+00:00,4996.275,L
2026-03-04 00:00:00+00:00,5206.265,H
2026-03-09 00:00:00+00:00,5015.045,L
2026-03-10 00:00:00+00:00,5238.775,H
2026-03-18 00:00:00+00:00,4804.225,L
2026-03-18 00:00:00+00:00,5016.53,H
2026-03-20 00:00:00+00:00,4477.54,L
2026-03-20 00:00:00+00:00,4736.175,H
2026-03-23 00:00:00+00:00,4099.125,L
2026-03-24 00:00:00+00:00,4551.66,H
2026-03-24 00:00:00+00:00,4305.88,L
2026-03-25 00:00:00+00:00,4602.645,H
2026-03-26 00:00:00+00:00,4351.355,L
2026-03-30 00:00:00+00:00,4580.73,H
2026-03-30 00:00:00+00:00,4417.43,L
2026-04-01 00:00:00+00:00,4800.8,H
2026-04-02 00:00:00+00:00,4553.85,L
2026-04-07 00:00:00+00:00,4836.505,H
2026-04-07 00:00:00+00:00,4607.63,L
2026-04-08 00:00:00+00:00,4858.215,H
2026-04-12 00:00:00+00:00,4644.465,L
2026-04-17 00:00:00+00:00,4891.54,H
2026-04-21 00:00:00+00:00,4668.62,L
2026-04-21 00:00:00+00:00,4830.895,H
2026-04-28 00:00:00+00:00,4555.135,L
2026-04-28 00:00:00+00:00,4701.64,H
2026-04-29 00:00:00+00:00,4510.095,L
2026-05-01 00:00:00+00:00,4660.585,H
2026-05-04 00:00:00+00:00,4501.035,L
2026-05-12 00:00:00+00:00,4773.575,H
2026-05-18 00:00:00+00:00,4480.41,L
