time,open,high,low,close,ticks
2024-12-29 00:00:00+00:00,2625.115,2665.405,2621.775,2639.725,126200
2025-01-05 00:00:00+00:00,2639.75,2697.95,2614.635,2689.375,314772
2025-01-12 00:00:00+00:00,2689.83,2724.785,2656.835,2703.15,317876
2025-01-19 00:00:00+00:00,2702.895,2786.06,2689.375,2770.885,311856
2025-01-26 00:00:00+00:00,2766.255,2817.215,2730.56,2797.94,319996
2025-02-02 00:00:00+00:00,2801.715,2886.855,2772.215,2861.23,322908
2025-02-09 00:00:00+00:00,2861.66,2942.78,2860.405,2882.482,322876
2025-02-16 00:00:00+00:00,2893.865,2954.955,2878.785,2936.05,309948
2025-02-23 00:00:00+00:00,2939.825,2956.31,2832.72,2858.14,319856
2025-03-02 00:00:00+00:00,2873.24,2930.54,2859.0,2910.705,320096
2025-03-09 00:00:00+00:00,2912.445,3005.04,2880.25,2984.91,315540
2025-03-16 00:00:00+00:00,2987.61,3057.59,2982.34,3023.985,314248
2025-03-23 00:00:00+00:00,3023.515,3086.965,3002.495,3085.345,316512
2025-03-30 00:00:00+00:00,3092.675,3097.978,3088.01,3089.16,5280
