time,open,high,low,close,ticks
2025-11-16 00:00:00+00:00,4077.35,4132.985,4022.26,4065.01,194132
2025-11-23 00:00:00+00:00,4067.635,4226.915,4040.02,4215.82,300164
2025-11-30 00:00:00+00:00,4226.125,4264.7,4163.805,4198.685,325172
2025-12-07 00:00:00+00:00,4202.06,4353.555,4169.985,4299.435,323332
2025-12-14 00:00:00+00:00,4303.6,4374.655,4271.575,4338.765,325652
2025-12-21 00:00:00+00:00,4340.91,4550.15,4339.9,4533.21,252944
2025-12-28 00:00:00+00:00,4542.81,4548.35,4274.025,4332.065,262672
2026-01-04 00:00:00+00:00,4356.825,4517.25,4349.355,4509.66,327600
2026-01-11 00:00:00+00:00,4521.42,4642.97,4521.19,4596.32,328696
2026-01-18 00:00:00+00:00,4648.905,4990.12,4646.135,4987.545,321084
2026-01-25 00:00:00+00:00,5015.715,5602.225,4679.51,4895.44,329620
2026-02-01 00:00:00+00:00,4830.695,5091.93,4402.38,4964.62,329536
2026-02-08 00:00:00+00:00,4988.365,5119.345,4878.5,5042.74,327096
2026-02-15 00:00:00+00:00,5015.89,5108.72,4842.6,5107.535,315276
2026-02-22 00:00:00+00:00,5117.855,5281.155,5093.225,5278.51,326308
2026-03-01 00:00:00+00:00,5367.495,5419.66,4996.275,5171.5,328332
2026-03-08 00:00:00+00:00,5165.165,5238.775,5009.745,5020.6,326556
2026-03-15 00:00:00+00:00,5015.725,5044.9,4477.54,4497.48,327092
2026-03-22 00:00:00+00:00,4476.125,4602.645,4099.125,4493.685,327996
2026-03-29 00:00:00+00:00,4511.885,4800.8,4417.43,4676.745,264084
2026-04-05 00:00:00+00:00,4637.325,4858.215,4600.85,4749.685,331561
2026-04-12 00:00:00+00:00,4670.125,4891.54,4644.465,4831.61,330478
2026-04-19 00:00:00+00:00,4775.17,4833.405,4658.03,4709.75,331670
2026-04-26 00:00:00+00:00,4697.19,4729.965,4510.095,4613.87,331175
2026-05-03 00:00:00+00:00,4625.71,4764.905,4501.035,4715.71,330528
2026-05-10 00:00:00+00:00,4687.015,4773.575,4510.985,4540.645,175152
2026-05-17 00:00:00+00:00,4545.805,4589.58,4480.41,4549.55,77600
