time,open,high,low,close,ticks
2025-11-19 00:00:00+00:00,4077.35,4080.775,4055.525,4067.105,11432
2025-11-19 04:00:00+00:00,4067.1,4098.72,4064.68,4087.0,11408
2025-11-19 08:00:00+00:00,4086.925,4119.23,4078.35,4113.125,11452
2025-11-19 12:00:00+00:00,4113.14,4132.985,4090.05,4096.745,11500
2025-11-19 16:00:00+00:00,4096.74,4098.71,4055.475,4073.7,11520
2025-11-19 20:00:00+00:00,4073.655,4108.21,4065.76,4104.69,8152
2025-11-20 00:00:00+00:00,4107.325,4110.37,4038.9,4072.365,11480
2025-11-20 04:00:00+00:00,4072.38,4080.53,4054.35,4059.935,11436
2025-11-20 08:00:00+00:00,4059.97,4072.81,4038.93,4060.895,11504
2025-11-20 12:00:00+00:00,4060.82,4107.35,4060.185,4070.355,11516
2025-11-20 16:00:00+00:00,4070.39,4087.445,4043.58,4084.76,11520
2025-11-20 20:00:00+00:00,4084.71,4088.725,4073.075,4079.035,8104
2025-11-21 00:00:00+00:00,4079.2,4081.56,4049.46,4056.365,11436
2025-11-21 04:00:00+00:00,4056.37,4065.095,4024.835,4031.82,11492
2025-11-21 08:00:00+00:00,4031.815,4063.605,4022.26,4036.715,11520
2025-11-21 12:00:00+00:00,4036.71,4084.075,4034.785,4069.67,11516
2025-11-21 16:00:00+00:00,4069.655,4101.07,4063.08,4087.625,11520
2025-11-21 20:00:00+00:00,4087.645,4088.77,4054.74,4065.01,5624
2025-11-23 20:00:00+00:00,4067.635,4077.795,4065.75,4075.165,2620
2025-11-24 00:00:00+00:00,4075.81,4076.105,4040.77,4050.45,11416
2025-11-24 04:00:00+00:00,4050.23,4067.75,4040.02,4060.245,11440
2025-11-24 08:00:00+00:00,4060.25,4077.4,4059.65,4070.035,11468
2025-11-24 12:00:00+00:00,4070.035,4093.94,4065.635,4091.705,11508
2025-11-24 16:00:00+00:00,4091.72,4126.03,4088.085,4118.575,11516
2025-11-24 20:00:00+00:00,4118.61,4144.34,4118.1,4143.62,8080
2025-11-25 00:00:00+00:00,4142.305,4155.9,4122.55,4143.165,11492
2025-11-25 04:00:00+00:00,4143.14,4152.21,4130.115,4132.56,11392
2025-11-25 08:00:00+00:00,4132.715,4139.495,4109.71,4133.685,11388
2025-11-25 12:00:00+00:00,4133.68,4150.915,4110.805,4123.125,11500
2025-11-25 16:00:00+00:00,4123.12,4159.38,4122.215,4133.86,11520
2025-11-25 20:00:00+00:00,4133.895,4138.525,4127.62,4133.955,7668
2025-11-26 00:00:00+00:00,4133.895,4169.58,4132.815,4166.07,11364
2025-11-26 04:00:00+00:00,4166.015,4168.845,4146.68,4157.54,11448
2025-11-26 08:00:00+00:00,4157.525,4173.175,4154.76,4171.61,11440
2025-11-26 12:00:00+00:00,4171.62,4173.5,4136.665,4165.43,11516
2025-11-26 16:00:00+00:00,4165.445,4171.905,4158.1,4163.355,11500
2025-11-26 20:00:00+00:00,4163.365,4168.75,4161.4,4164.785,7668
2025-11-27 00:00:00+00:00,4164.75,4167.15,4144.525,4147.565,11280
2025-11-27 04:00:00+00:00,4147.56,4162.515,4142.73,4160.18,11308
2025-11-27 08:00:00+00:00,4160.21,4167.26,4148.4,4157.42,11256
2025-11-27 12:00:00+00:00,4157.445,4161.925,4149.085,4158.07,11232
2025-11-27 16:00:00+00:00,4158.025,4160.46,4151.505,4157.68,7956
2025-11-27 20:00:00+00:00,4157.55,4163.845,4155.335,4163.165,2676
2025-11-28 00:00:00+00:00,4163.495,4193.26,4163.12,4183.39,10172
2025-11-28 04:00:00+00:00,4183.405,4192.46,4170.68,4174.16,8760
2025-11-28 08:00:00+00:00,4173.95,4180.15,4153.74,4171.275,6556
2025-11-28 12:00:00+00:00,4170.63,4209.04,4168.11,4203.93,10328
2025-11-28 16:00:00+00:00,4203.94,4226.915,4197.87,4215.82,10696
2025-11-30 20:00:00+00:00,4226.125,4226.465,4205.785,4221.94,2636
2025-12-01 00:00:00+00:00,4222.67,4256.6,4218.43,4239.49,11508
2025-12-01 04:00:00+00:00,4239.5,4247.065,4215.605,4245.35,11512
2025-12-01 08:00:00+00:00,4245.375,4262.435,4238.335,4254.63,11520
2025-12-01 12:00:00+00:00,4254.475,4264.7,4219.495,4232.525,11516
2025-12-01 16:00:00+00:00,4232.51,4244.81,4223.105,4237.075,11520
2025-12-01 20:00:00+00:00,4237.1,4241.63,4224.39,4227.54,7960
2025-12-02 00:00:00+00:00,4227.21,4229.735,4192.915,4216.835,11476
2025-12-02 04:00:00+00:00,4216.84,4226.35,4203.285,4213.57,11312
2025-12-02 08:00:00+00:00,4213.585,4217.24,4181.14,4205.64,11392
2025-12-02 12:00:00+00:00,4205.625,4230.685,4163.805,4169.835,11436
2025-12-02 16:00:00+00:00,4170.075,4200.4,4166.825,4196.47,11512
