time,open,high,low,close
2025-11-19 00:00:00+00:00,50.87615,52.46815,50.38,51.73315
2025-11-20 00:00:00+00:00,51.72965,51.8753,50.2289,50.78925
2025-11-21 00:00:00+00:00,50.7887,50.83715,48.63665,50.023
2025-11-23 00:00:00+00:00,50.2251,50.40615,50.0655,50.12515
2025-11-24 00:00:00+00:00,50.1261,51.41345,49.72255,51.3844
2025-11-25 00:00:00+00:00,51.389,51.76325,50.6981,51.3534
2025-11-26 00:00:00+00:00,51.3529,53.46405,51.3386,53.4236
2025-11-27 00:00:00+00:00,53.42085,53.921,52.69495,53.47665
2025-11-28 00:00:00+00:00,53.47885,56.54215,53.4546,56.3935
2025-11-30 00:00:00+00:00,56.7913,57.3002,56.18715,57.01005
2025-12-01 00:00:00+00:00,57.00395,58.85495,56.446,57.61675
2025-12-02 00:00:00+00:00,57.61885,58.7538,56.58605,58.647
2025-12-03 00:00:00+00:00,58.6479,58.98355,57.55055,58.5167
2025-12-04 00:00:00+00:00,58.51905,58.75575,56.45895,57.0349
2025-12-05 00:00:00+00:00,57.0399,59.3387,56.8782,58.36
2025-12-07 00:00:00+00:00,58.4552,58.5748,58.357,58.44985
2025-12-08 00:00:00+00:00,58.4511,58.62475,57.5185,58.1328
2025-12-09 00:00:00+00:00,58.1324,60.92395,57.59695,60.8556
2025-12-10 00:00:00+00:00,60.85555,61.9693,60.09675,61.9126
2025-12-11 00:00:00+00:00,61.913,64.3198,61.4531,63.07245
2025-12-12 00:00:00+00:00,63.07085,64.66565,60.79955,61.915
2025-12-14 00:00:00+00:00,62.003,62.1719,61.8193,61.9754
2025-12-15 00:00:00+00:00,61.9743,64.17445,61.751,63.9114
2025-12-16 00:00:00+00:00,63.9162,64.08665,62.1588,63.79125
2025-12-17 00:00:00+00:00,63.79715,66.8973,63.7908,66.32685
2025-12-18 00:00:00+00:00,66.3259,66.63005,64.63295,65.5656
2025-12-19 00:00:00+00:00,65.5655,67.4642,64.4969,67.1675
2025-12-21 00:00:00+00:00,67.3374,67.51845,67.33345,67.4399
2025-12-22 00:00:00+00:00,67.4455,69.4577,67.3835,69.145
2025-12-23 00:00:00+00:00,69.14555,71.85925,68.84475,71.82525
2025-12-24 00:00:00+00:00,71.82575,72.70235,70.1998,71.848
2025-12-25 00:00:00+00:00,73.02745,73.3285,72.5609,73.138
2025-12-26 00:00:00+00:00,73.139,79.43465,73.1335,79.31065
2025-12-28 00:00:00+00:00,81.7373,84.03015,81.6915,81.8571
2025-12-29 00:00:00+00:00,81.8612,81.90595,70.52265,72.5452
2025-12-30 00:00:00+00:00,72.54215,78.07375,72.0589,75.22035
2025-12-31 00:00:00+00:00,75.22085,75.8121,70.07495,71.6445
