time,open,high,low,close,ticks
2025-11-19 00:00:00+00:00,4077.35,4132.985,4055.475,4104.69,65464
2025-11-20 00:00:00+00:00,4107.325,4110.37,4038.9,4079.035,65560
2025-11-21 00:00:00+00:00,4079.2,4101.07,4022.26,4065.01,63108
2025-11-23 00:00:00+00:00,4067.635,4077.795,4065.75,4075.165,2620
2025-11-24 00:00:00+00:00,4075.81,4144.34,4040.02,4143.62,65428
2025-11-25 00:00:00+00:00,4142.305,4159.38,4109.71,4133.955,64960
2025-11-26 00:00:00+00:00,4133.895,4173.5,4132.815,4164.785,64936
2025-11-27 00:00:00+00:00,4164.75,4167.26,4142.73,4163.165,55708
2025-11-28 00:00:00+00:00,4163.495,4226.915,4153.74,4215.82,46512
2025-11-30 00:00:00+00:00,4226.125,4226.465,4205.785,4221.94,2636
2025-12-01 00:00:00+00:00,4222.67,4264.7,4215.605,4227.54,65536
2025-12-02 00:00:00+00:00,4227.21,4230.685,4163.805,4212.75,64984
2025-12-03 00:00:00+00:00,4211.59,4241.565,4194.645,4207.465,64744
2025-12-04 00:00:00+00:00,4206.39,4219.62,4174.81,4206.285,65008
2025-12-05 00:00:00+00:00,4205.4,4259.34,4192.055,4198.685,62264
2025-12-07 00:00:00+00:00,4202.06,4203.14,4198.505,4201.52,836
2025-12-08 00:00:00+00:00,4201.68,4219.175,4176.205,4194.86,64316
2025-12-09 00:00:00+00:00,4194.835,4221.625,4169.985,4210.75,64880
2025-12-10 00:00:00+00:00,4211.22,4238.785,4182.08,4232.585,65112
2025-12-11 00:00:00+00:00,4232.9,4285.89,4204.27,4276.285,65380
2025-12-12 00:00:00+00:00,4275.935,4353.555,4257.275,4299.435,62808
2025-12-14 00:00:00+00:00,4303.6,4308.52,4301.72,4302.575,2596
2025-12-15 00:00:00+00:00,4302.865,4350.285,4285.515,4304.445,65024
2025-12-16 00:00:00+00:00,4305.205,4335.185,4271.575,4308.11,65092
2025-12-17 00:00:00+00:00,4308.22,4349.28,4306.515,4339.055,65304
2025-12-18 00:00:00+00:00,4339.055,4374.655,4308.67,4335.135,65200
2025-12-19 00:00:00+00:00,4335.395,4356.625,4309.095,4338.765,62436
2025-12-21 00:00:00+00:00,4340.91,4356.1,4339.9,4355.4,2536
2025-12-22 00:00:00+00:00,4358.23,4461.66,4356.485,4460.145,65404
2025-12-23 00:00:00+00:00,4459.63,4510.78,4430.515,4503.39,65504
2025-12-24 00:00:00+00:00,4504.84,4526.15,4448.26,4479.415,53744
2025-12-25 00:00:00+00:00,4489.88,4536.74,4484.195,4495.405,2628
2025-12-26 00:00:00+00:00,4495.98,4550.15,4492.21,4533.21,63128
2025-12-28 00:00:00+00:00,4542.81,4548.35,4523.05,4527.08,2640
2025-12-29 00:00:00+00:00,4527.635,4527.98,4302.11,4345.945,65852
2025-12-30 00:00:00+00:00,4344.19,4404.375,4324.65,4339.12,65700
2025-12-31 00:00:00+00:00,4340.18,4373.59,4274.025,4322.61,63164
2026-01-01 00:00:00+00:00,4327.83,4351.665,4327.82,4348.26,2516
2026-01-02 00:00:00+00:00,4348.275,4402.295,4309.915,4332.065,62800
2026-01-04 00:00:00+00:00,4356.825,4375.995,4349.355,4372.725,2632
2026-01-05 00:00:00+00:00,4372.43,4460.285,4370.425,4440.675,65528
2026-01-06 00:00:00+00:00,4440.2,4500.56,4427.635,4493.73,65584
2026-01-07 00:00:00+00:00,4493.935,4496.115,4423.385,4463.52,65412
2026-01-08 00:00:00+00:00,4463.38,4479.735,4407.835,4475.735,65624
2026-01-09 00:00:00+00:00,4475.485,4517.25,4452.92,4509.66,62820
2026-01-11 00:00:00+00:00,4521.42,4544.96,4521.19,4540.26,2640
2026-01-12 00:00:00+00:00,4540.29,4630.19,4536.53,4599.565,65784
2026-01-13 00:00:00+00:00,4598.375,4634.89,4569.47,4597.105,65616
2026-01-14 00:00:00+00:00,4598.475,4642.97,4597.465,4615.325,65828
2026-01-15 00:00:00+00:00,4615.885,4625.015,4581.065,4610.365,65776
2026-01-16 00:00:00+00:00,4609.695,4620.39,4536.49,4596.32,63052
2026-01-18 00:00:00+00:00,4648.905,4690.94,4646.135,4672.975,2640
2026-01-19 00:00:00+00:00,4676.34,4682.145,4653.225,4665.36,58196
2026-01-20 00:00:00+00:00,4665.955,4781.285,4659.395,4775.99,65672
2026-01-21 00:00:00+00:00,4775.61,4888.545,4755.075,4778.265,65872
2026-01-22 00:00:00+00:00,4780.88,4960.67,4772.27,4959.13,65764
2026-01-23 00:00:00+00:00,4958.6,4990.12,4899.795,4987.545,62940
2026-01-25 00:00:00+00:00,5015.715,5040.55,5003.705,5039.85,2640
2026-01-26 00:00:00+00:00,5039.75,5111.51,4990.215,5043.56,65936
2026-01-27 00:00:00+00:00,5042.235,5190.51,5013.875,5172.315,65904
2026-01-28 00:00:00+00:00,5172.37,5602.225,5157.21,5513.285,65932
2026-01-29 00:00:00+00:00,5508.625,5595.77,5097.215,5438.57,65924
2026-01-30 00:00:00+00:00,5439.315,5451.16,4679.51,4895.44,63284
2026-02-01 00:00:00+00:00,4830.695,4831.45,4697.14,4742.1,2624
2026-02-02 00:00:00+00:00,4743.51,4884.56,4402.38,4774.58,65948
