date,price,kind
2025-11-21 00:00:00+00:00,4022.26,L
2025-12-26 00:00:00+00:00,4550.15,H
2025-12-31 00:00:00+00:00,4274.025,L
2026-01-28 00:00:00+00:00,5602.225,H
2026-01-29 00:00:00+00:00,5097.215,L
2026-01-29 00:00:00+00:00,5595.77,H
2026-02-02 00:00:00+00:00,4402.38,L
2026-02-04 00:00:00+00:00,5091.93,H
2026-02-06 00:00:00+00:00,4655.23,L
2026-03-02 00:00:00+00:00,5419.66,H
2026-03-19 00:00:00+00:00,4502.365,L
2026-03-19 00:00:00+00:00,4867.225,H
2026-03-23 00:00:00+00:00,4099.125,L
2026-04-17 00:00:00+00:00,4891.54,H
2026-05-04 00:00:00+00:00,4501.035,L
2026-05-12 00:00:00+00:00,4773.575,H
2026-05-18 00:00:00+00:00,4480.41,L
